Moisture,rainfall,Average Humidity,Mean Temp,max Temp,Min temp
13.04582057,0.31073026,50,76,88,63
12.79225003,0.2535624,47,76,86,65
12.84497027,0.28809325,48,78,90,66
12.87651912,0.27789621,59,77,89,65
12.88004896,0.23477725,61,72,83,62
12.75241677,0.25988332,59,76,85,66
12.99225952,0.23821256,61,74,83,66
12.81282518,0.24275834,52,75,86,64
12.86900585,0.21390753,68,72,80,63
12.82901,0.22267875,62,68,80,57
12.98339476,0.22460861,64,66,77,56
12.69593817,0.20867334,58,68,82,54
12.93517397,0.22015464,48,73,87,59
13.08369857,0.24147998,36,78,91,64
12.85121798,0.28560557,40,80,95,65
13.02514127,0.301119,33,82,97,66
12.8965992,0.25605625,33,82,97,67
12.891914,0.24019075,33,80,96,65
12.90473543,0.24572588,35,80,96,63
12.95653115,0.27386408,43,79,92,66
12.93295397,0.23189624,36,81,96,66
12.88135765,0.27144763,43,76,86,66
13.05383788,0.15342658,32,76,89,62
12.71946763,0.14389701,37,74,87,60
13.07791711,0.08972662,34,75,90,60
12.97638176,0.09120516,27,80,97,62
12.91358741,0.1372778,28,84,94,73
12.85613556,0.10768843,28,84,94,74
12.81972198,0.07695559,22,78,93,64
12.87508403,0.10906583,21,82,91,73
12.80488196,0.12941,23,76,88,63
12.85937622,0.09000015,21,75,91,59
12.93603432,0.09558814,23,77,95,59
12.70182541,0.08988969,21,79,97,61
12.93267546,0.12240879,22,80,98,61
12.90349709,0.08412435,22,84,101,66
12.79976749,0.04538749,18,85,104,66
12.83555461,0.07730968,15,88,102,74
12.74881273,0.07068936,13,81,94,68
12.88368141,0.0151269,11,76,89,62
12.86520303,0.01387918,14,72,86,59
13.00793468,0.08298048,19,68,87,50
12.93156969,0.0545119,17,77,91,63
12.95548102,0.06093378,22,80,97,63
12.92532857,0,22,84,101,67
12.79884075,0.02043946,16,84,100,69
12.8922017,0.00642048,15,90,100,79
12.93210979,0.03583846,17,84,98,70
12.86633092,0.06777985,20,85,100,70
12.99457432,0.04620565,22,86,103,68
12.81932721,0.01812981,18,90,104,75
12.97780575,0.04954826,21,90,106,75
12.84481326,0.05862999,19,90,102,78
12.87858252,0.12675816,31,88,100,69
13.16848358,0.11645147,40,84,99,70
13.03350541,0.06654542,34,84,100,68
12.85667124,0.10557575,30,86,100,71
12.79855652,0.18707732,38,86,99,72
13.0424415,0.09733837,65,78,92,65
13.06713169,0.01139799,64,74,83,66
12.84861673,0.0393005,57,80,94,66
12.76143094,0.01833598,43,82,93,71
12.77739937,0,47,84,97,72
12.98599461,0.01841964,48,79,88,70
12.98904523,0,45,81,94,68
12.89762805,0,40,82,95,70
13.04044767,0,41,86,99,72
13.02292811,0,29,91,103,79
12.84824231,0.0018103,23,94,103,84
13.03967293,0,24,88,100,75
12.87747333,0,22,86,100,72
12.78374402,0,19,86,102,69
12.7877091,0,18,90,104,75
13.15602816,0,20,93,108,78
12.99800009,0,21,90,106,75
12.86535313,0.00014373,18,92,105,78
12.92328913,0,19,92,109,75
12.97671711,0,16,96,108,85
12.91136027,0,24,92,104,79
12.71082157,0,28,95,110,80
12.92824152,0.00948428,18,94,111,78
12.75012498,0,17,93,109,77
12.92398113,0,24,96,107,84
12.86359968,0,20,94,106,82
13.05844561,0,25,95,108,82
12.8842024,0,23,93,108,78
12.91362748,0,17,94,108,81
13.07964541,0,19,92,106,77
12.90118754,0,17,90,106,75
12.9457308,0,22,92,101,84
12.83778476,0,27,88,102,75
12.80567001,0,16,91,104,78
12.81552503,0,17,92,107,77
12.92430232,0,21,94,108,79
12.96266693,0.0280096,21,94,107,81
12.74584578,0.02282416,27,98,112,84
12.80519281,0.01609646,25,98,111,86
12.7548269,0,19,98,110,86
12.96431276,0,41,92,105,78
12.93740572,0,42,86,101,72
12.98323789,0,29,90,105,75
13.00284363,0,27,94,107,80
12.84606001,0,25,95,108,82
12.81510243,0,26,90,105,76
12.97176935,0,26,92,104,80
12.82662659,0,35,90,103,77
12.99055132,0,29,92,106,78
